mangled,demangled,signature,address
_ZN5Actor15reloadHardcodedENS_20InitializationMethodERK20VariantParameterList,"Actor::reloadHardcoded(Actor::InitializationMethod,VariantParameterList const&)",__int64 __fastcall sub_1173(__int64 a1),0x1173
_ZN5Actor21reloadHardcodedClientENS_20InitializationMethodERK20VariantParameterList,"Actor::reloadHardcodedClient(Actor::InitializationMethod,VariantParameterList const&)",__int64 __fastcall sub_24CA9E4(__int64 a1),0x24CA9E4
_ZN5Actor20initializeComponentsENS_20InitializationMethodERK20VariantParameterList,"Actor::initializeComponents(Actor::InitializationMethod,VariantParameterList const&)",__int64 __fastcall sub_24CAB08(__int64 a1),0x24CAB08
_ZN5Actor16reloadComponentsENS_20InitializationMethodERK20VariantParameterList,"Actor::reloadComponents(Actor::InitializationMethod,VariantParameterList const&)",__int64 __fastcall sub_24CCAFC(__int64 a1),0x24CCAFC
_ZN5Actor23_serverInitItemStackIdsEv,Actor::_serverInitItemStackIds(void),__int64 __fastcall sub_24CCECC(__int64 a1),0x24CCECC
_ZN5Actor14_doInitialMoveEv,Actor::_doInitialMove(void),__int64 __fastcall sub_24CD0E8(__int64 a1),0x24CD0E8
_ZNK5Actor12hasComponentERK12HashedString,Actor::hasComponent(HashedString const&),__int64 __fastcall sub_24CDD08(__int64 a1),0x24CDD08
_ZN5ActorD2Ev,Actor::~Actor(),__int64 __fastcall sub_24C9334(__int64 a1),0x24C9334
_ZN5ActorD0Ev,Actor::~Actor(),__int64 __fastcall sub_24C968C(__int64 a1),0x24C968C
_ZN5Actor5resetEv,Actor::reset(void),__int64 __fastcall sub_24DD5DC(__int64 a1),0x24DD5DC
_ZN5Actor20getOnDeathExperienceEv,Actor::getOnDeathExperience(void),__int64 __fastcall sub_24D0B8C(__int64 a1),0x24D0B8C
_ZN5Actor18getOwnerEntityTypeEv,Actor::getOwnerEntityType(void),__int64 __fastcall sub_24E7A7C(__int64 a1),0x24E7A7C
_ZN5Actor6removeEv,Actor::remove(void),__int64 __fastcall sub_24D48D0(__int64 a1),0x24D48D0
_ZN5Actor6setPosERK4Vec3,Actor::setPos(Vec3 const&),__int64 __fastcall sub_24D3CF0(__int64 a1),0x24D3CF0
_ZNK5Actor33isRuntimePredictedMovementEnabledEv,Actor::isRuntimePredictedMovementEnabled(void),__int64 __fastcall sub_24D0F18(__int64 a1),0x24D0F18
_ZNK5Actor26getPredictedMovementValuesEv,Actor::getPredictedMovementValues(void),__int64 __fastcall sub_24D15D4(__int64 a1),0x24D15D4
_ZNK5Actor6getPosEv,Actor::getPos(void),__int64 __fastcall sub_24D3F9C(__int64 a1),0x24D3F9C
_ZNK5Actor9getPosOldEv,Actor::getPosOld(void),__int64 __fastcall sub_24D3FA4(__int64 a1),0x24D3FA4
_ZNK5Actor18getPosExtrapolatedEf,Actor::getPosExtrapolated(float),__int64 __fastcall sub_24D3FAC(__int64 a1),0x24D3FAC
_ZNK5Actor12getAttachPosE13ActorLocationf,"Actor::getAttachPos(ActorLocation,float)",__int64 __fastcall sub_24D428C(__int64 a1),0x24D428C
_ZNK5Actor12getFiringPosEv,Actor::getFiringPos(void),__int64 __fastcall sub_24D4504(__int64 a1),0x24D4504
_ZN5Actor6setRotERK4Vec2,Actor::setRot(Vec2 const&),__int64 __fastcall sub_24D4D0C(__int64 a1),0x24D4D0C
_ZN5Actor4moveERK4Vec3,Actor::move(Vec3 const&),__int64 __fastcall sub_24D27C8(__int64 a1),0x24D27C8
_ZNK5Actor4moveER19IActorMovementProxyRK4Vec3,"Actor::move(IActorMovementProxy &,Vec3 const&)",__int64 __fastcall sub_24D15DC(__int64 a1),0x24D15DC
_ZNK5Actor29getInterpolatedRidingPositionEf,Actor::getInterpolatedRidingPosition(float),__int64 __fastcall sub_24ECFB0(__int64 a1),0x24ECFB0
_ZNK5Actor22getInterpolatedBodyRotEf,Actor::getInterpolatedBodyRot(float),__int64 __fastcall sub_24ED0FC(__int64 a1),0x24ED0FC
_ZNK5Actor22getInterpolatedHeadRotEf,Actor::getInterpolatedHeadRot(float),__int64 __fastcall sub_24ED144(__int64 a1),0x24ED144
_ZNK5Actor22getInterpolatedBodyYawEf,Actor::getInterpolatedBodyYaw(float),__int64 __fastcall sub_24ED14C(__int64 a1),0x24ED14C
_ZNK5Actor29getYawSpeedInDegreesPerSecondEv,Actor::getYawSpeedInDegreesPerSecond(void),__int64 __fastcall sub_24D4DE8(__int64 a1),0x24D4DE8
_ZNK5Actor28getInterpolatedWalkAnimSpeedEf,Actor::getInterpolatedWalkAnimSpeed(float),__int64 __fastcall sub_24D4E10(__int64 a1),0x24D4E10
_ZNK5Actor27getInterpolatedRidingOffsetEf,Actor::getInterpolatedRidingOffset(float),__int64 __fastcall sub_24D4E2C(__int64 a1),0x24D4E2C
_ZN5Actor20checkBlockCollisionsERK4AABBSt8functionIFvR11BlockSourceRK5BlockRK8BlockPosRS_EE,"Actor::checkBlockCollisions(AABB const&,std::function<void ()(BlockSource &,Block const&,BlockPos const&,Actor&)>)",__int64 __fastcall sub_24E9438(__int64 a1),0x24E9438
_ZN5Actor20checkBlockCollisionsEv,Actor::checkBlockCollisions(void),__int64 __fastcall sub_24E909C(__int64 a1),0x24E909C
_ZNK5Actor12isFireImmuneEv,Actor::isFireImmune(void),__int64 __fastcall sub_24E9374(__int64 a1),0x24E9374
_ZNK5Actor19breaksFallingBlocksEv,Actor::breaksFallingBlocks(void),__int64 __fastcall sub_24F1AA8(__int64 a1),0x24F1AA8
_ZN5Actor15blockedByShieldERK17ActorDamageSourceRS_,"Actor::blockedByShield(ActorDamageSource const&,Actor&)",__int64 __fastcall sub_24F1AB0(__int64 a1),0x24F1AB0
_ZN5Actor10teleportToERK4Vec3bii,"Actor::teleportTo(Vec3 const&,bool,int,int)",__int64 __fastcall sub_24D9B8C(__int64 a1),0x24D9B8C
